"Rank","Player","Team","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"81","Jeremy Kerley","SF","11","44","121","87.8","11.0","106.0","+25.0"
"82","Chris Conley","KC","10","52","105","76.4","9.7","83.0","+1.0"
"83","Tyler Boyd","CIN","6","51","123","81.6","10.4","92.0","+9.0"
"84","Eli Rogers","PIT","9","54","101","82.1","9.4","102.0","+18.0"
"85","JuJu Smith-Schuster","PIT","9","52","154","91.6","14.5","85.0","0.0"
"86","Curtis Samuel","CAR","11","57","104","79.7","9.4","74.0","-12.0"
"87","Danny Amendola","NE","9","58","148","92.5","26.1","87.0","0.0"
"88","Kendall Wright","CHI","9","57","108","85.7","9.7","",""
"89","Michael Floyd","MIN","9","59","145","93.4","16.5","99.0","+10.0"
"90","Josh Gordon","CLE","9","58","310","99.1","36.2","96.0","+6.0"
"91","Laquon Treadwell","MIN","9","59","104","84.8","9.3","86.0","-5.0"
"92","Travis Benjamin","LAC","9","59","109","85.1","10.0","82.0","-10.0"
"93","Terrance Williams","DAL","6","60","105","82.6","10.5","89.0","-4.0"
"94","ArDarius Stewart","NYJ","11","61","140","84.9","12.0","98.0","+4.0"
"95","Braxton Miller","HOU","7","62","112","87.8","12.3","95.0","0.0"
"96","Marquise Goodwin","SF","11","65","117","88.3","12.7","104.0","+8.0"
"97","Seth Roberts","OAK","10","66","123","90.2","11.7","105.0","+8.0"
"98","Charone Peake","NYJ","11","71","112","92.4","10.3","112.0","+14.0"
"99","Kamar Aiken","IND","11","68","139","93.9","10.8","97.0","-2.0"
"100","Phillip Dorsett","IND","11","72","119","94.3","10.8","101.0","+1.0"
"101","Albert Wilson","KC","10","80","135","95.0","11.5","",""
"102","Chad Williams","ARI","8","68","142","97.4","17.0","",""
"103","Jermaine Kearse","SEA","6","73","117","97.6","8.4","100.0","-3.0"
"104","Tajae Sharpe","TEN","8","69","174","97.8","17.9","94.0","-10.0"
"105","Carlos Henderson","DEN","5","73","139","98.3","13.0","75.0","-30.0"
"106","Taywan Taylor","TEN","8","72","177","98.6","15.4","",""
"107","Dontrelle Inman","LAC","9","72","135","98.6","12.1","103.0","-4.0"
"108","Dede Westbrook","JAC","8","66","135","98.8","16.0","",""
"109","Brandon Coleman","NO","5","79","125","99.6","9.9","88.0","-21.0"
"110","Vincent Jackson","FA","","77","136","99.8","13.4","",""
"111","Andre Holmes","BUF","6","79","134","100.2","11.1","",""
"112","Jaelen Strong","HOU","7","71","143","100.3","14.8","",""
"113","Markus Wheaton","CHI","9","68","146","100.6","14.1","110.0","-3.0"
"114","Adam Humphries","TB","11","64","138","100.7","12.1","107.0","-7.0"
"115","Chris Godwin","TB","11","69","148","100.9","15.3","80.0","-35.0"
"116","Aldrick Robinson","SF","11","79","131","102.2","12.5","",""
"117","Cordarrelle Patterson","OAK","10","84","129","103.8","10.8","108.0","-9.0"
"118","Dorial Green-Beckham","FA","","80","124","104.2","14.1","",""
"119","Sammie Coates","PIT","9","80","187","106.7","20.7","",""
"120","Chris Harper","NYJ","11","105","109","107.0","2.0","",""
"121","Geronimo Allison","GB","8","83","133","108.3","14.5","90.0","-31.0"
"122","Brian Quick","WAS","5","76","144","108.5","18.4","",""
"123","Bruce Ellington","HOU","7","71","270","108.5","35.3","",""
"124","Victor Cruz","CHI","9","77","135","109.4","16.1","93.0","-31.0"
"125","Chester Rogers","IND","11","75","167","109.9","23.6","",""
"126","Josh Reynolds","LAR","8","73","175","110.9","19.9","",""
"127","Steve Smith","FA","","111","111","111.0","0.0","",""
"128","Chad Hansen","NYJ","11","96","140","111.7","13.3","",""
"129","Ricardo Louis","CLE","9","69","144","113.2","16.4","",""
"130","Rashard Higgins","CLE","9","87","156","113.7","17.3","",""
"131","Russell Shepard","CAR","11","98","133","114.2","10.5","",""
"132","Brice Butler","DAL","6","89","133","114.4","12.3","",""
"133","Justin Hardy","ATL","5","98","145","116.3","10.7","",""
