"Rank","Player","Team","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"92","Gavin Escobar","KC","10","53","99","77.4","13.9","",""
"93","Logan Paulsen","SF","11","42","96","77.7","25.2","",""
"94","Eric Saubert","ATL","5","55","91","78.0","11.6","",""
"95","Phillip Supernaw","TEN","8","72","85","78.6","4.9","",""
"96","Cole Wick","DET","7","71","85","79.0","6.2","",""
"97","James O'Shaughnessy","NE","9","73","84","79.5","4.4","",""
"98","Ifeanyi Momah","ARI","8","75","87","79.7","5.2","",""
"99","David Morgan","MIN","9","70","88","80.0","6.6","",""
"100","MarQueis Gray","MIA","11","64","96","80.9","10.8","",""
"101","Michael Hoomanawanui","NO","5","70","93","81.3","8.4","",""
"102","Temarrick Hemingway","LAR","8","73","92","81.4","6.2","",""
"103","Lee Smith","OAK","10","74","87","82.0","5.7","",""
"104","Jacob Hollister","NE","9","80","85","82.5","2.5","36.0","-68.0"
"105","Sean McGrath","LAC","9","86","87","86.5","0.5","",""
"106","Ryan Hewitt","CIN","6","77","97","87.0","10.0","",""
"107","James Hanna","DAL","6","76","99","87.7","8.8","",""
"108","Chris Gragg","NYJ","11","86","100","93.0","7.0","",""
"109","Luke Stocker","TB","11","90","97","93.3","2.9","",""
"110","Jeff Cumberland","LAC","9","87","100","93.5","6.5","",""
""
""
