Player,Att,Cmp,Yds,Tds,INTs,"Rush Att","Rush Yds","Rush Tds",Fumbles,Points
"Aaron Murray KC",18,9,99,0.8,0.3,3.5,6.5,0,0,7.3
"Bruce Gradkowski PIT",16,9.8,114.5,0.8,0.3,0.6,2,0,0,7.3
"Scott Tolzien IND",15.6,9.9,104.7,0.7,0.3,1,2.3,0,0,6.7
"Derek Anderson CAR",13.6,8.2,95.2,0.6,0.3,1.2,2.3,0,0,6.2
"Kellen Clemens SD",11.6,7,84,0.6,0.1,0.6,0.2,0,0,5.5
"Ryan Nassib NYG",8.8,5.7,64.6,0.6,0.3,0.7,0.6,0,0,4.5
"Matt Moore MIA",8.1,5,57.7,0.3,0.2,0.5,-0.1,0,0,3.1
"Matt Schaub ATL",10.2,6.5,64.1,0.2,0.3,0.3,0.6,0,0,3.1
"Luke McCown NO",7,4,42.1,0.1,0.1,0.5,0.9,0,0,2.1
"Brett Hundley GB",6,4,40.5,0,0,0,0,0,0,1.6
"Austin Davis CLE",1.7,0.7,20.7,0,0,0.3,1.3,0,0,1
"Jacoby Brissett NE",2,1,20,0,0,0,0,0,0,0.8
"Tyler Bray KC",2,1,14,0,0,0,0,0,0,0.6
"Bryce Petty NYJ",0,0,1,0,0,4,4,0,0,0.4
"Tom Savage HOU",1,0,5,0,0,0,0,0,0,0.2
"Sean Renfree ATL",0,0,0.3,0,0,0,0,0,0,0
"Cardale Jones BUF",0,0,0,0,0,0,0,0,0,0
"Jeff Driskel SF",0,0,0,0,0,0,0,0,0,0
"Brandon Doughty MIA",0,0,0,0,0,0,0,0,0,0
"Matt Simms ATL",0,0,0,0,0,0,0,0,0,0
"Kevin Hogan KC",0,0,0,0,0,0,0,0,0,0
"Nate Sudfeld WAS",0,0,0,0,0,0,0,0,0,0
"Jake Rudock DET",0,0,0,0,0,0,0,0,0,0
"Josh Johnson BAL",0,0,0,0,0,0,0,0,0,0
"Jimmy Clausen",0,0,0,0,0,0,0,0,0,0
"Matt Barkley ARI",0,0,0,0,0,0,0,0,0,0
"Joe Webb CAR",0,0,0,0,0,0,0,0,0,0
"Zac Dysert MIA",0,0,0,0,0,0,0,0,0,0
"Ryan Griffin HOU",0,0,0,0,0,0,0,0,0,0
"Dan LeFevour",0,0,0,0,0,0,0,0,0,0
"Logan Thomas NYG",0,0,0,0,0,0,0,0,0,0
"Keith Wenning CIN",0,0,0,0,0,0,0,0,0,0
"Jerrod Johnson BAL",0,0,0,0,0,0,0,0,0,0
"Stephen Morris IND",0,0,0,0,0,0,0,0,0,0
"Matt Blanchard",0,0,0,0,0,0,0,0,0,0
"Garrett Grayson NO",0,0,0,0,0,0,0,0,0,0
"Sean Mannion LA",0,0,0,0,0,0,0,0,0,0
"Alex Tanney TEN",0,0,0,0,0,0,0,0,0,0
"Taylor Heinicke MIN",0,0,0,0,0,0,0,0,0,0
"Connor Cook OAK",0,0,0,0,0,0,0,0,0,0
