"Rank","Player","Team","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"81","Wayne Gallman","NYG","8","56","103","77.9","8.6","91.0","+10.0"
"82","Jeremy McNichols","TB","11","52","203","78.6","18.8","78.0","-4.0"
"83","Branden Oliver","LAC","9","56","93","78.7","7.9","85.0","+2.0"
"84","Jeremy Langford","CHI","9","57","104","78.8","9.2","83.0","-1.0"
"85","Kenyan Drake","MIA","11","61","100","79.1","8.5","81.0","-4.0"
"86","Tarik Cohen","CHI","9","52","109","80.0","13.9","71.0","-15.0"
"87","Damien Williams","MIA","11","68","97","80.1","8.3","97.0","+10.0"
"88","Charcandrick West","KC","10","54","103","80.8","11.8","92.0","+4.0"
"89","Kyle Juszczyk","SF","11","56","127","81.5","11.7","60.0","-29.0"
"90","Javorius Allen","BAL","10","59","101","81.6","9.4","89.0","-1.0"
"91","Chris Johnson","ARI","8","59","105","82.7","9.4","95.0","+4.0"
"92","Aaron Jones","GB","8","61","129","82.8","11.5","75.0","-17.0"
"93","Orleans Darkwa","NYG","8","61","182","83.4","21.7","",""
"94","DeAngelo Williams","FA","","62","150","84.9","16.6","96.0","+2.0"
"95","Matt Jones","WAS","5","59","128","85.0","13.1","93.0","-2.0"
"96","Andre Ellington","ARI","8","68","110","85.2","7.6","",""
"97","Alfred Blue","HOU","7","66","108","85.6","9.6","104.0","+7.0"
"98","Matthew Dayes","CLE","9","78","98","87.3","8.2","",""
"99","Lance Dunbar","LAR","8","74","175","87.7","14.1","105.0","+6.0"
"100","Benny Cunningham","CHI","9","67","123","87.8","9.7","",""
"101","Dwayne Washington","DET","7","57","171","88.5","19.2","",""
"102","James Starks","FA","","72","103","88.7","10.2","98.0","-4.0"
"103","Malcolm Brown","LAR","8","68","107","88.8","10.9","102.0","-1.0"
"104","Elijah McGuire","NYJ","11","68","111","90.5","10.2","",""
"105","Kerwynn Williams","ARI","8","74","123","90.6","11.8","",""
"106","Matt Breida","SF","11","65","119","92.6","16.6","",""
"107","Rashad Jennings","FA","","61","151","93.0","18.7","101.0","-6.0"
"108","Kenneth Farrow","LAC","9","73","128","94.6","13.1","",""
"109","Cameron Artis-Payne","CAR","11","67","127","94.7","14.3","99.0","-10.0"
"110","Mike Tolbert","BUF","6","76","123","95.0","12.2","",""
"111","John Kuhn","NO","5","75","121","95.1","14.2","",""
"112","Shaun Draughn","NYG","8","78","125","96.5","12.1","100.0","-12.0"
"113","Aaron Ripkowski","GB","8","78","109","97.7","9.1","",""
"114","Karlos Williams","FA","","93","104","98.0","4.1","",""
"115","Corey Grant","JAC","8","75","163","98.8","20.2","",""
"116","Fitzgerald Toussaint","PIT","9","79","126","99.0","13.4","",""
"117","Khiry Robinson","FA","","93","110","99.0","7.8","",""
"118","Corey Clement","PHI","10","66","174","99.2","35.9","",""
"119","Reggie Bush","FA","","93","116","101.0","10.6","",""
"120","Lorenzo Taliaferro","BAL","10","74","130","101.2","18.8","",""
"121","Brian Hill","ATL","5","70","123","101.3","13.2","",""
"122","Ronnie Hillman","DAL","6","77","133","101.4","18.0","",""
"123","Fozzy Whittaker","CAR","11","90","119","102.8","6.9","",""
"124","Kenjon Barner","LAC","9","81","144","103.5","18.2","94.0","-30.0"
"125","Travaris Cadet","NO","5","85","125","105.5","12.8","",""
"126","Ka'Deem Carey","CHI","9","74","150","106.0","21.3","",""
"127","Matt Asiata","DET","7","79","139","106.1","20.4","",""
"128","Rod Smith","DAL","6","84","189","106.8","32.3","",""
"129","Daniel Lasco","NO","5","80","134","107.0","19.5","88.0","-41.0"
"130","Marcel Reece","SEA","6","93","122","107.5","14.5","",""
"131","Jamize Olawale","OAK","10","83","121","107.7","11.5","",""
"132","Terron Ward","ATL","5","90","121","107.8","9.4","",""
"133","Andre Williams","LAC","9","81","123","108.4","14.1","",""
"134","Alex Collins","SEA","6","85","123","108.6","12.2","",""
"135","De'Anthony Thomas","KC","10","92","122","110.3","13.1","",""
"136","Matt Dayes","FA","","100","135","110.4","12.6","",""
"137","Josh Ferguson","IND","11","82","195","110.7","32.1","",""
"138","Devante Mays","GB","8","108","114","111.0","3.0","",""
"139","T.J. Logan","ARI","8","82","173","112.2","28.2","103.0","-36.0"
"140","C.J. Spiller","KC","10","82","180","112.4","23.0","76.0","-64.0"
"141","Andy Janovich","DEN","5","95","132","114.3","13.1","",""
"142","Tyler Ervin","HOU","7","86","177","114.8","28.6","",""
"143","Patrick DiMarco","BUF","6","102","126","115.3","8.6","",""
"144","Anthony Sherman","KC","10","102","129","115.5","13.5","",""
"145","Khalfani Muhammad","TEN","8","102","137","117.9","13.0","",""
"146","Kapri Bibbs","SF","11","102","137","118.3","10.6","",""
"147","Jalston Fowler","TEN","8","110","133","118.6","9.0","",""
"148","Dan Vitale","CLE","9","105","131","120.5","10.2","",""
"149","Derek Watt","LAC","9","118","123","120.5","2.5","",""
"150","Brandon Bolden","NE","9","68","208","121.0","47.1","",""
"151","Darrel Young","CAR","11","117","125","121.0","4.0","",""
"152","Peyton Barber","TB","11","77","210","122.0","39.6","",""
"153","Terrell Watson","PIT","9","115","129","122.0","7.0","",""
"154","Jonathan Grimes","JAC","8","87","183","123.0","30.4","",""
"155","Juwan Thompson","DEN","5","90","181","124.0","25.0","",""
"156","Knile Davis","PIT","9","111","141","124.6","10.5","106.0","-50.0"
"157","Akeem Hunt","HOU","7","105","152","126.5","17.9","",""
"158","Brandon Wilds","CLE","9","91","168","128.3","23.1","",""
"159","Joe Banyard","BUF","6","95","209","128.9","36.1","",""
"160","Jay Prosch","HOU","7","123","136","129.5","6.5","",""
"161","Aaron Green","LAR","8","100","147","129.8","16.9","",""
"162","Storm Johnson","MIA","11","115","148","130.0","12.6","",""
"163","Cedric Peerman","CIN","6","122","139","130.5","8.5","",""
"164","Bobby Rainey","BAL","10","105","166","132.8","23.3","",""
"165","George Atkinson","OAK","10","113","176","139.0","21.4","",""
"166","Justin Davis","LAR","8","124","156","142.0","13.4","",""
"167","Byron Marshall","PHI","10","127","169","142.3","18.9","",""
"168","Elijhaa Penny","ARI","8","141","149","145.0","4.0","",""
"169","Tyler Gaffney","JAC","8","104","188","146.0","42.0","",""
"170","D.J. Foster","NE","9","118","200","149.7","36.0","",""
"171","David Fluellen","TEN","8","144","159","149.7","6.6","",""
"172","Glenn Gronkowski","NE","9","93","207","150.0","57.0","",""
"173","Stevan Ridley","DEN","5","112","205","158.5","46.5","",""
"174","Troymaine Pope","IND","11","145","202","173.5","28.5","",""
""
""
